transaction_id,account_code,amount,transaction_date,description
TXN00000056,101-006,6913.2,2025-09-19T00:39:36.157470,Transaction 56
TXN00000057,101-007,7036.65,2025-09-19T00:39:36.157472,Transaction 57
TXN00000058,101-008,7160.1,2025-09-19T00:39:36.157473,Transaction 58
TXN00000059,101-009,7283.55,2025-09-19T00:39:36.157475,Transaction 59
TXN00000060,101-000,7407.0,2025-09-19T00:39:36.157477,Transaction 60
TXN00000061,101-001,7530.45,2025-09-19T00:39:36.157479,Transaction 61
TXN00000062,101-002,7653.9,2025-09-19T00:39:36.157480,Transaction 62
TXN00000063,101-003,7777.35,2025-09-19T00:39:36.157482,Transaction 63
TXN00000064,101-004,7900.8,2025-09-19T00:39:36.157484,Transaction 64
TXN00000065,101-005,8024.25,2025-09-19T00:39:36.157487,Transaction 65
TXN00000066,101-006,8147.7,2025-09-19T00:39:36.157488,Transaction 66
TXN00000067,101-007,8271.15,2025-09-19T00:39:36.157490,Transaction 67
TXN00000068,101-008,8394.6,2025-09-19T00:39:36.157492,Transaction 68
TXN00000069,101-009,8518.05,2025-09-19T00:39:36.157494,Transaction 69
TXN00000070,101-000,8641.5,2025-09-19T00:39:36.157496,Transaction 70
TXN00000071,101-001,8764.95,2025-09-19T00:39:36.157497,Transaction 71
TXN00000072,101-002,8888.4,2025-09-19T00:39:36.157499,Transaction 72
TXN00000073,101-003,9011.85,2025-09-19T00:39:36.157501,Transaction 73
TXN00000074,101-004,9135.3,2025-09-19T00:39:36.157502,Transaction 74
TXN00000075,101-005,9258.75,2025-09-19T00:39:36.157504,Transaction 75
TXN00000076,101-006,9382.2,2025-09-19T00:39:36.157506,Transaction 76
TXN00000077,101-007,9505.65,2025-09-19T00:39:36.157508,Transaction 77
TXN00000078,101-008,9629.1,2025-09-19T00:39:36.157510,Transaction 78
TXN00000079,101-009,9752.55,2025-09-19T00:39:36.157512,Transaction 79
TXN00000080,101-000,9876.0,2025-09-19T00:39:36.157514,Transaction 80
TXN00000081,101-001,9999.45,2025-09-19T00:39:36.157516,Transaction 81
TXN00000082,101-002,122.9,2025-09-19T00:39:36.157518,Transaction 82
TXN00000083,101-003,246.35,2025-09-19T00:39:36.157519,Transaction 83
TXN00000084,101-004,369.8,2025-09-19T00:39:36.157521,Transaction 84
TXN00000085,101-005,493.25,2025-09-19T00:39:36.157523,Transaction 85
TXN00000086,101-006,616.7,2025-09-19T00:39:36.157524,Transaction 86
TXN00000087,101-007,740.15,2025-09-19T00:39:36.157526,Transaction 87
TXN00000088,101-008,863.6,2025-09-19T00:39:36.157528,Transaction 88
TXN00000089,101-009,987.05,2025-09-19T00:39:36.157529,Transaction 89
TXN00000090,101-000,1110.5,2025-09-19T00:39:36.157531,Transaction 90
TXN00000091,101-001,1233.95,2025-09-19T00:39:36.157533,Transaction 91
TXN00000092,101-002,1357.4,2025-09-19T00:39:36.157534,Transaction 92
TXN00000093,101-003,1480.85,2025-09-19T00:39:36.157536,Transaction 93
TXN00000094,101-004,1604.3,2025-09-19T00:39:36.157538,Transaction 94
TXN00000095,101-005,1727.75,2025-09-19T00:39:36.157540,Transaction 95
TXN00000096,101-006,1851.2,2025-09-19T00:39:36.157541,Transaction 96
TXN00000097,101-007,1974.65,2025-09-19T00:39:36.157543,Transaction 97
TXN00000098,101-008,2098.1,2025-09-19T00:39:36.157545,Transaction 98
TXN00000099,101-009,2221.55,2025-09-19T00:39:36.157546,Transaction 99
TXN00000100,101-000,2345.0,2025-09-19T00:39:36.157548,Transaction 100
TXN00000101,101-001,2468.45,2025-09-19T00:39:36.157550,Transaction 101
TXN00000102,101-002,2591.9,2025-09-19T00:39:36.157551,Transaction 102
TXN00000103,101-003,2715.35,2025-09-19T00:39:36.157553,Transaction 103
TXN00000104,101-004,2838.8,2025-09-19T00:39:36.157555,Transaction 104
TXN00000105,101-005,2962.25,2025-09-19T00:39:36.157556,Transaction 105
TXN00000106,101-006,3085.7,2025-09-19T00:39:36.157559,Transaction 106
TXN00000107,101-007,3209.15,2025-09-19T00:39:36.157560,Transaction 107
TXN00000108,101-008,3332.6,2025-09-19T00:39:36.157562,Transaction 108
TXN00000109,101-009,3456.05,2025-09-19T00:39:36.157564,Transaction 109
TXN00000110,101-000,3579.5,2025-09-19T00:39:36.157566,Transaction 110
TXN00000111,101-001,3702.95,2025-09-19T00:39:36.157568,Transaction 111
TXN00000112,101-002,3826.4,2025-09-19T00:39:36.157570,Transaction 112
TXN00000113,101-003,3949.85,2025-09-19T00:39:36.157572,Transaction 113
TXN00000114,101-004,4073.3,2025-09-19T00:39:36.157573,Transaction 114
TXN00000115,101-005,4196.75,2025-09-19T00:39:36.157575,Transaction 115
TXN00000116,101-006,4320.2,2025-09-19T00:39:36.157577,Transaction 116
TXN00000117,101-007,4443.65,2025-09-19T00:39:36.157578,Transaction 117
TXN00000118,101-008,4567.1,2025-09-19T00:39:36.157580,Transaction 118
TXN00000119,101-009,4690.55,2025-09-19T00:39:36.157582,Transaction 119
TXN00000120,101-000,4814.0,2025-09-19T00:39:36.157583,Transaction 120
TXN00000121,101-001,4937.45,2025-09-19T00:39:36.157585,Transaction 121
TXN00000122,101-002,5060.9,2025-09-19T00:39:36.157587,Transaction 122
TXN00000123,101-003,5184.35,2025-09-19T00:39:36.157589,Transaction 123
TXN00000124,101-004,5307.8,2025-09-19T00:39:36.157590,Transaction 124
TXN00000125,101-005,5431.25,2025-09-19T00:39:36.157592,Transaction 125
TXN00000126,101-006,5554.7,2025-09-19T00:39:36.157594,Transaction 126
TXN00000127,101-007,5678.15,2025-09-19T00:39:36.157596,Transaction 127
TXN00000128,101-008,5801.6,2025-09-19T00:39:36.157598,Transaction 128
TXN00000129,101-009,5925.05,2025-09-19T00:39:36.157600,Transaction 129
TXN00000130,101-000,6048.5,2025-09-19T00:39:36.157601,Transaction 130
TXN00000131,101-001,6171.95,2025-09-19T00:39:36.157604,Transaction 131
TXN00000132,101-002,6295.4,2025-09-19T00:39:36.157606,Transaction 132
TXN00000133,101-003,6418.85,2025-09-19T00:39:36.157607,Transaction 133
TXN00000134,101-004,6542.3,2025-09-19T00:39:36.157609,Transaction 134
TXN00000135,101-005,6665.75,2025-09-19T00:39:36.157611,Transaction 135
TXN00000136,101-006,6789.2,2025-09-19T00:39:36.157612,Transaction 136
TXN00000137,101-007,6912.65,2025-09-19T00:39:36.157614,Transaction 137
TXN00000138,101-008,7036.1,2025-09-19T00:39:36.157616,Transaction 138
TXN00000139,101-009,7159.55,2025-09-19T00:39:36.157617,Transaction 139
TXN00000140,101-000,7283.0,2025-09-19T00:39:36.157619,Transaction 140
TXN00000141,101-001,7406.45,2025-09-19T00:39:36.157621,Transaction 141
TXN00000142,101-002,7529.9,2025-09-19T00:39:36.157623,Transaction 142
TXN00000143,101-003,7653.35,2025-09-19T00:39:36.157624,Transaction 143
TXN00000144,101-004,7776.8,2025-09-19T00:39:36.157626,Transaction 144
TXN00000145,101-005,7900.25,2025-09-19T00:39:36.157628,Transaction 145
TXN00000146,101-006,8023.7,2025-09-19T00:39:36.157630,Transaction 146
TXN00000147,101-007,8147.15,2025-09-19T00:39:36.157631,Transaction 147
TXN00000148,101-008,8270.6,2025-09-19T00:39:36.157633,Transaction 148
TXN00000149,101-009,8394.05,2025-09-19T00:39:36.157635,Transaction 149
TXN00000150,101-000,8517.5,2025-09-19T00:39:36.157637,Transaction 150
TXN00000151,101-001,8640.95,2025-09-19T00:39:36.157639,Transaction 151
TXN00000152,101-002,8764.4,2025-09-19T00:39:36.157640,Transaction 152
TXN00000153,101-003,8887.85,2025-09-19T00:39:36.157642,Transaction 153
TXN00000154,101-004,9011.3,2025-09-19T00:39:36.157644,Transaction 154
TXN00000155,101-005,9134.75,2025-09-19T00:39:36.157645,Transaction 155
TXN00000156,101-006,9258.2,2025-09-19T00:39:36.157647,Transaction 156
TXN00000157,101-007,9381.65,2025-09-19T00:39:36.157649,Transaction 157
TXN00000158,101-008,9505.1,2025-09-19T00:39:36.157650,Transaction 158
TXN00000159,101-009,9628.55,2025-09-19T00:39:36.157652,Transaction 159
TXN00000160,101-000,9752.0,2025-09-19T00:39:36.157653,Transaction 160
TXN00000161,101-001,9875.45,2025-09-19T00:39:36.157655,Transaction 161
TXN00000162,101-002,9998.9,2025-09-19T00:39:36.157657,Transaction 162
TXN00000163,101-003,122.35,2025-09-19T00:39:36.157658,Transaction 163
TXN00000164,101-004,245.8,2025-09-19T00:39:36.157660,Transaction 164
TXN00000165,101-005,369.25,2025-09-19T00:39:36.157662,Transaction 165
TXN00000166,101-006,492.7,2025-09-19T00:39:36.157664,Transaction 166
TXN00000167,101-007,616.15,2025-09-19T00:39:36.157665,Transaction 167
TXN00000168,101-008,739.6,2025-09-19T00:39:36.157667,Transaction 168
TXN00000169,101-009,863.05,2025-09-19T00:39:36.157669,Transaction 169
TXN00000170,101-000,986.5,2025-09-19T00:39:36.157670,Transaction 170
TXN00000171,101-001,1109.95,2025-09-19T00:39:36.157672,Transaction 171
TXN00000172,101-002,1233.4,2025-09-19T00:39:36.157674,Transaction 172
TXN00000173,101-003,1356.85,2025-09-19T00:39:36.157675,Transaction 173
TXN00000174,101-004,1480.3,2025-09-19T00:39:36.157677,Transaction 174
TXN00000175,101-005,1603.75,2025-09-19T00:39:36.157679,Transaction 175
TXN00000176,101-006,1727.2,2025-09-19T00:39:36.157681,Transaction 176
TXN00000177,101-007,1850.65,2025-09-19T00:39:36.157682,Transaction 177
TXN00000178,101-008,1974.1,2025-09-19T00:39:36.157684,Transaction 178
TXN00000179,101-009,2097.55,2025-09-19T00:39:36.157686,Transaction 179
TXN00000180,101-000,2221.0,2025-09-19T00:39:36.157687,Transaction 180
TXN00000181,101-001,2344.45,2025-09-19T00:39:36.157689,Transaction 181
TXN00000182,101-002,2467.9,2025-09-19T00:39:36.157691,Transaction 182
TXN00000183,101-003,2591.35,2025-09-19T00:39:36.157692,Transaction 183
TXN00000184,101-004,2714.8,2025-09-19T00:39:36.157694,Transaction 184
TXN00000185,101-005,2838.25,2025-09-19T00:39:36.157696,Transaction 185
TXN00000186,101-006,2961.7,2025-09-19T00:39:36.157697,Transaction 186
TXN00000187,101-007,3085.15,2025-09-19T00:39:36.157699,Transaction 187
TXN00000188,101-008,3208.6,2025-09-19T00:39:36.157701,Transaction 188
TXN00000189,101-009,3332.05,2025-09-19T00:39:36.157702,Transaction 189
TXN00000190,101-000,3455.5,2025-09-19T00:39:36.157704,Transaction 190
TXN00000191,101-001,3578.95,2025-09-19T00:39:36.157706,Transaction 191
TXN00000192,101-002,3702.4,2025-09-19T00:39:36.157708,Transaction 192
TXN00000193,101-003,3825.85,2025-09-19T00:39:36.157709,Transaction 193
TXN00000194,101-004,3949.3,2025-09-19T00:39:36.157711,Transaction 194
TXN00000195,101-005,4072.75,2025-09-19T00:39:36.157713,Transaction 195
TXN00000196,101-006,4196.2,2025-09-19T00:39:36.157715,Transaction 196
TXN00000197,101-007,4319.65,2025-09-19T00:39:36.157717,Transaction 197
TXN00000198,101-008,4443.1,2025-09-19T00:39:36.157719,Transaction 198
TXN00000199,101-009,4566.55,2025-09-19T00:39:36.157720,Transaction 199
TXN00000200,101-000,4690.0,2025-09-19T00:39:36.157723,Transaction 200
TXN00000201,101-001,4813.45,2025-09-19T00:39:36.157724,Transaction 201
TXN00000202,101-002,4936.9,2025-09-19T00:39:36.157726,Transaction 202
TXN00000203,101-003,5060.35,2025-09-19T00:39:36.157728,Transaction 203
TXN00000204,101-004,5183.8,2025-09-19T00:39:36.157730,Transaction 204
TXN00000205,101-005,5307.25,2025-09-19T00:39:36.157732,Transaction 205
TXN00000206,101-006,5430.7,2025-09-19T00:39:36.157733,Transaction 206
TXN00000207,101-007,5554.15,2025-09-19T00:39:36.157738,Transaction 207
TXN00000208,101-008,5677.6,2025-09-19T00:39:36.157740,Transaction 208
TXN00000209,101-009,5801.05,2025-09-19T00:39:36.157742,Transaction 209
TXN00000210,101-000,5924.5,2025-09-19T00:39:36.157743,Transaction 210
TXN00000211,101-001,6047.95,2025-09-19T00:39:36.157754,Transaction 211
TXN00000212,101-002,6171.4,2025-09-19T00:39:36.157756,Transaction 212
TXN00000213,101-003,6294.85,2025-09-19T00:39:36.157758,Transaction 213
TXN00000214,101-004,6418.3,2025-09-19T00:39:36.157760,Transaction 214
TXN00000215,101-005,6541.75,2025-09-19T00:39:36.157761,Transaction 215
TXN00000216,101-006,6665.2,2025-09-19T00:39:36.157763,Transaction 216
TXN00000217,101-007,6788.65,2025-09-19T00:39:36.157765,Transaction 217
TXN00000218,101-008,6912.1,2025-09-19T00:39:36.157767,Transaction 218
TXN00000219,101-009,7035.55,2025-09-19T00:39:36.157769,Transaction 219
TXN00000220,101-000,7159.0,2025-09-19T00:39:36.157800,Transaction 220
TXN00000221,101-001,7282.45,2025-09-19T00:39:36.157805,Transaction 221
TXN00000222,101-002,7405.9,2025-09-19T00:39:36.157808,Transaction 222
TXN00000223,101-003,7529.35,2025-09-19T00:39:36.157810,Transaction 223
TXN00000224,101-004,7652.8,2025-09-19T00:39:36.157811,Transaction 224
TXN00000225,101-005,7776.25,2025-09-19T00:39:36.157813,Transaction 225
TXN00000226,101-006,7899.7,2025-09-19T00:39:36.157815,Transaction 226
TXN00000227,101-007,8023.15,2025-09-19T00:39:36.157817,Transaction 227
TXN00000228,101-008,8146.6,2025-09-19T00:39:36.157818,Transaction 228
TXN00000229,101-009,8270.05,2025-09-19T00:39:36.157820,Transaction 229
TXN00000230,101-000,8393.5,2025-09-19T00:39:36.157822,Transaction 230
TXN00000231,101-001,8516.95,2025-09-19T00:39:36.157824,Transaction 231
TXN00000232,101-002,8640.4,2025-09-19T00:39:36.157825,Transaction 232
TXN00000233,101-003,8763.85,2025-09-19T00:39:36.157827,Transaction 233
TXN00000234,101-004,8887.3,2025-09-19T00:39:36.157829,Transaction 234
TXN00000235,101-005,9010.75,2025-09-19T00:39:36.157831,Transaction 235
TXN00000236,101-006,9134.2,2025-09-19T00:39:36.157832,Transaction 236
TXN00000237,101-007,9257.65,2025-09-19T00:39:36.157834,Transaction 237
TXN00000238,101-008,9381.1,2025-09-19T00:39:36.157836,Transaction 238
TXN00000239,101-009,9504.55,2025-09-19T00:39:36.157837,Transaction 239
TXN00000240,101-000,9628.0,2025-09-19T00:39:36.157839,Transaction 240
TXN00000241,101-001,9751.45,2025-09-19T00:39:36.157841,Transaction 241
TXN00000242,101-002,9874.9,2025-09-19T00:39:36.157842,Transaction 242
TXN00000243,101-003,9998.35,2025-09-19T00:39:36.157844,Transaction 243
TXN00000244,101-004,121.8,2025-09-19T00:39:36.157846,Transaction 244
TXN00000245,101-005,245.25,2025-09-19T00:39:36.157848,Transaction 245
TXN00000246,101-006,368.7,2025-09-19T00:39:36.157849,Transaction 246
TXN00000247,101-007,492.15,2025-09-19T00:39:36.157851,Transaction 247
TXN00000248,101-008,615.6,2025-09-19T00:39:36.157854,Transaction 248
TXN00000249,101-009,739.05,2025-09-19T00:39:36.157856,Transaction 249
TXN00000250,101-000,862.5,2025-09-19T00:39:36.157857,Transaction 250
TXN00000251,101-001,985.95,2025-09-19T00:39:36.157859,Transaction 251
TXN00000252,101-002,1109.4,2025-09-19T00:39:36.157861,Transaction 252
TXN00000253,101-003,1232.85,2025-09-19T00:39:36.157863,Transaction 253
TXN00000254,101-004,1356.3,2025-09-19T00:39:36.157865,Transaction 254
TXN00000255,101-005,1479.75,2025-09-19T00:39:36.157867,Transaction 255
TXN00000256,101-006,1603.2,2025-09-19T00:39:36.157868,Transaction 256
TXN00000257,101-007,1726.65,2025-09-19T00:39:36.157870,Transaction 257
TXN00000258,101-008,1850.1,2025-09-19T00:39:36.157872,Transaction 258
TXN00000259,101-009,1973.55,2025-09-19T00:39:36.157874,Transaction 259
TXN00000260,101-000,2097.0,2025-09-19T00:39:36.157875,Transaction 260
TXN00000261,101-001,2220.45,2025-09-19T00:39:36.157877,Transaction 261
TXN00000262,101-002,2343.9,2025-09-19T00:39:36.157879,Transaction 262
TXN00000263,101-003,2467.35,2025-09-19T00:39:36.157881,Transaction 263
TXN00000264,101-004,2590.8,2025-09-19T00:39:36.157883,Transaction 264
TXN00000265,101-005,2714.25,2025-09-19T00:39:36.157885,Transaction 265
TXN00000266,101-006,2837.7,2025-09-19T00:39:36.157887,Transaction 266
TXN00000267,101-007,2961.15,2025-09-19T00:39:36.157888,Transaction 267
TXN00000268,101-008,3084.6,2025-09-19T00:39:36.157890,Transaction 268
TXN00000269,101-009,3208.05,2025-09-19T00:39:36.157891,Transaction 269
TXN00000270,101-000,3331.5,2025-09-19T00:39:36.157893,Transaction 270
TXN00000271,101-001,3454.95,2025-09-19T00:39:36.157895,Transaction 271
TXN00000272,101-002,3578.4,2025-09-19T00:39:36.157897,Transaction 272
TXN00000273,101-003,3701.85,2025-09-19T00:39:36.157898,Transaction 273
TXN00000274,101-004,3825.3,2025-09-19T00:39:36.157900,Transaction 274
TXN00000275,101-005,3948.75,2025-09-19T00:39:36.157901,Transaction 275
TXN00000276,101-006,4072.2,2025-09-19T00:39:36.157903,Transaction 276
TXN00000277,101-007,4195.65,2025-09-19T00:39:36.157905,Transaction 277
TXN00000278,101-008,4319.1,2025-09-19T00:39:36.157906,Transaction 278
TXN00000279,101-009,4442.55,2025-09-19T00:39:36.157908,Transaction 279
TXN00000280,101-000,4566.0,2025-09-19T00:39:36.157910,Transaction 280
TXN00000281,101-001,4689.45,2025-09-19T00:39:36.157911,Transaction 281
TXN00000282,101-002,4812.9,2025-09-19T00:39:36.157913,Transaction 282
TXN00000283,101-003,4936.35,2025-09-19T00:39:36.157915,Transaction 283
TXN00000284,101-004,5059.8,2025-09-19T00:39:36.157916,Transaction 284
TXN00000285,101-005,5183.25,2025-09-19T00:39:36.157918,Transaction 285
TXN00000286,101-006,5306.7,2025-09-19T00:39:36.157920,Transaction 286
TXN00000287,101-007,5430.15,2025-09-19T00:39:36.157921,Transaction 287
TXN00000288,101-008,5553.6,2025-09-19T00:39:36.157923,Transaction 288
TXN00000289,101-009,5677.05,2025-09-19T00:39:36.157925,Transaction 289
TXN00000290,101-000,5800.5,2025-09-19T00:39:36.157927,Transaction 290
TXN00000291,101-001,5923.95,2025-09-19T00:39:36.157928,Transaction 291
TXN00000292,101-002,6047.4,2025-09-19T00:39:36.157930,Transaction 292
TXN00000293,101-003,6170.85,2025-09-19T00:39:36.157932,Transaction 293
TXN00000294,101-004,6294.3,2025-09-19T00:39:36.157933,Transaction 294
TXN00000295,101-005,6417.75,2025-09-19T00:39:36.157935,Transaction 295
TXN00000296,101-006,6541.2,2025-09-19T00:39:36.157937,Transaction 296
TXN00000297,101-007,6664.65,2025-09-19T00:39:36.157938,Transaction 297
TXN00000298,101-008,6788.1,2025-09-19T00:39:36.157940,Transaction 298
TXN00000299,101-009,6911.55,2025-09-19T00:39:36.157942,Transaction 299
TXN00000300,101-000,7035.0,2025-09-19T00:39:36.157944,Transaction 300
TXN00000301,101-001,7158.45,2025-09-19T00:39:36.157946,Transaction 301
TXN00000302,101-002,7281.9,2025-09-19T00:39:36.157947,Transaction 302
TXN00000303,101-003,7405.35,2025-09-19T00:39:36.157949,Transaction 303
TXN00000304,101-004,7528.8,2025-09-19T00:39:36.157950,Transaction 304
TXN00000305,101-005,7652.25,2025-09-19T00:39:36.157952,Transaction 305
TXN00000306,101-006,7775.7,2025-09-19T00:39:36.157954,Transaction 306
TXN00000307,101-007,7899.15,2025-09-19T00:39:36.157955,Transaction 307
TXN00000308,101-008,8022.6,2025-09-19T00:39:36.157957,Transaction 308
TXN00000309,101-009,8146.05,2025-09-19T00:39:36.157959,Transaction 309
TXN00000310,101-000,8269.5,2025-09-19T00:39:36.157961,Transaction 310
TXN00000311,101-001,8392.95,2025-09-19T00:39:36.157963,Transaction 311
TXN00000312,101-002,8516.4,2025-09-19T00:39:36.157964,Transaction 312
TXN00000313,101-003,8639.85,2025-09-19T00:39:36.157966,Transaction 313
TXN00000314,101-004,8763.3,2025-09-19T00:39:36.157968,Transaction 314
TXN00000315,101-005,8886.75,2025-09-19T00:39:36.157970,Transaction 315
TXN00000316,101-006,9010.2,2025-09-19T00:39:36.157972,Transaction 316
TXN00000317,101-007,9133.65,2025-09-19T00:39:36.157973,Transaction 317
TXN00000318,101-008,9257.1,2025-09-19T00:39:36.157975,Transaction 318
TXN00000319,101-009,9380.55,2025-09-19T00:39:36.157977,Transaction 319
TXN00000320,101-000,9504.0,2025-09-19T00:39:36.157979,Transaction 320
TXN00000321,101-001,9627.45,2025-09-19T00:39:36.157980,Transaction 321
TXN00000322,101-002,9750.9,2025-09-19T00:39:36.157982,Transaction 322
TXN00000323,101-003,9874.35,2025-09-19T00:39:36.157984,Transaction 323
TXN00000324,101-004,9997.8,2025-09-19T00:39:36.157985,Transaction 324
TXN00000325,101-005,121.25,2025-09-19T00:39:36.157987,Transaction 325
TXN00000326,101-006,244.7,2025-09-19T00:39:36.157989,Transaction 326
TXN00000327,101-007,368.15,2025-09-19T00:39:36.157991,Transaction 327
TXN00000328,101-008,491.6,2025-09-19T00:39:36.157993,Transaction 328
TXN00000329,101-009,615.05,2025-09-19T00:39:36.157994,Transaction 329
TXN00000330,101-000,738.5,2025-09-19T00:39:36.157996,Transaction 330
TXN00000331,101-001,861.95,2025-09-19T00:39:36.157998,Transaction 331
TXN00000332,101-002,985.4,2025-09-19T00:39:36.158000,Transaction 332
TXN00000333,101-003,1108.85,2025-09-19T00:39:36.158001,Transaction 333
TXN00000334,101-004,1232.3,2025-09-19T00:39:36.158003,Transaction 334
TXN00000335,101-005,1355.75,2025-09-19T00:39:36.158005,Transaction 335
TXN00000336,101-006,1479.2,2025-09-19T00:39:36.158007,Transaction 336
TXN00000337,101-007,1602.65,2025-09-19T00:39:36.158009,Transaction 337
TXN00000338,101-008,1726.1,2025-09-19T00:39:36.158011,Transaction 338
TXN00000339,101-009,1849.55,2025-09-19T00:39:36.158013,Transaction 339
TXN00000340,101-000,1973.0,2025-09-19T00:39:36.158015,Transaction 340
TXN00000341,101-001,2096.45,2025-09-19T00:39:36.158016,Transaction 341
TXN00000342,101-002,2219.9,2025-09-19T00:39:36.158018,Transaction 342
TXN00000343,101-003,2343.35,2025-09-19T00:39:36.158020,Transaction 343
TXN00000344,101-004,2466.8,2025-09-19T00:39:36.158022,Transaction 344
TXN00000345,101-005,2590.25,2025-09-19T00:39:36.158023,Transaction 345
TXN00000346,101-006,2713.7,2025-09-19T00:39:36.158025,Transaction 346
TXN00000347,101-007,2837.15,2025-09-19T00:39:36.158027,Transaction 347
TXN00000348,101-008,2960.6,2025-09-19T00:39:36.158029,Transaction 348
TXN00000349,101-009,3084.05,2025-09-19T00:39:36.158030,Transaction 349
TXN00000350,101-000,3207.5,2025-09-19T00:39:36.158032,Transaction 350
TXN00000351,101-001,3330.95,2025-09-19T00:39:36.158034,Transaction 351
TXN00000352,101-002,3454.4,2025-09-19T00:39:36.158035,Transaction 352
TXN00000353,101-003,3577.85,2025-09-19T00:39:36.158037,Transaction 353
TXN00000354,101-004,3701.3,2025-09-19T00:39:36.158039,Transaction 354
TXN00000355,101-005,3824.75,2025-09-19T00:39:36.158041,Transaction 355
TXN00000356,101-006,3948.2,2025-09-19T00:39:36.158042,Transaction 356
TXN00000357,101-007,4071.65,2025-09-19T00:39:36.158044,Transaction 357
