asset_id,asset_name,source,location,category,atlas_value,academy_value,os_value,conference_value,commercial_value,government_value,effort_required,readiness,risk,recommended_action,evidence,notes
A-020,Benton cost matrix data,active-codebase,data/cost-matrices/benton_county_data.json,data,3,5,2,3,4,5,1,Green,Low,Academy cost approach data,983 entries; building types costs regions,Real county data
A-021,AnalyticsReportingService,active-codebase,backend/.../Services/AnalyticsReportingService.cs,service,4,2,3,3,3,4,2,Yellow,Low,Backend for County Pulse,863 lines; analytics reports,No UI — needs County Pulse frontend
A-022,PropertyValuationService,active-codebase,backend/.../Services/PropertyValuationService.cs,service,4,4,3,3,4,4,1,Green,Low,Backend for Atlas+Academy valuation,328 lines; valuation logic,Wired to existing endpoints
G-001,terra-forge-rebuild Property 360,github,bsvalues/terra-forge-rebuild,application,5,4,4,5,5,5,3,Yellow,Medium,Extract Property 360 views for Atlas dossier,84920 parcels; historical assessments; 4 GIS layers,Supabase dependency — needs adapter
G-002,Valuator-Pro-Studio engines,github,bsvalues/TerraFusion-Valuator-Pro-Studio,engines,4,5,3,5,5,5,3,Yellow,Medium,Extract CostForge+CompVault+IncomeVault for Academy,USPAP-compliant; AI narratives; PDF export; 124 tests,Proprietary license — verify reuse
G-003,mass-valuation-showcase,github,bsvalues/mass-valuation-showcase,application,4,4,3,5,4,4,3,Yellow,Low,County Pulse calibration UI + defense packet,228 commits; market calibration; K-means; MIT license,MySQL dependency — swap to Postgres
G-004,TerraAgent NLP-to-SQL + RAG,github,bsvalues/TerraAgent,service,3,5,3,5,5,5,3,Yellow,Medium,Academy Ask backend — NLP query + RAG retrieval,Python/Flask; LangChain; production chat,Python stack — needs bridge or standalone
G-005,BCBSCOSTApp cost matrices,github,bsvalues/BCBSCOSTApp,application,3,5,2,4,4,5,2,Yellow,Low,Cost matrix data + parsers for Academy,672 commits; most mature cost implementation,TypeScript — good stack match
G-006,BCBSGISPRO mapping,github,bsvalues/BCBSGISPRO,application,5,3,2,4,4,5,3,Yellow,Low,Atlas map layer — multi-provider GIS,655 commits; Mapbox/Leaflet/ArcGIS; uses Claude,Already uses Anthropic — strong compatibility
G-007,PropertyTaxAI appeals,github,bsvalues/PropertyTaxAI,application,3,5,3,4,4,5,3,Yellow,Medium,Academy BOE appeals workflow,Automated appeals; public portal; supports Anthropic,Good stack compatibility
G-008,BCBSLevy forecasting,github,bsvalues/BCBSLevy,application,3,4,2,3,4,5,3,Yellow,Medium,Academy levy calc + Atlas county pulse forecasting,Claude 3.5 Sonnet forecasting; bill impact calc,Python — needs bridge
G-009,BSIncomeValuation agents,github,bsvalues/BSIncomeValuation,application,2,5,3,3,4,4,2,Yellow,Low,Academy income analysis agents,3 AI agents; pattern analysis; NL reporting,TypeScript — good stack match
G-010,terrafusion-brand-vault,github,bsvalues/terrafusion-brand-vault,design,3,3,3,4,5,4,1,Green,Low,Import brand tokens for visual consistency,terrafusion.brand.json; color palettes; typography,Essential for brand coherence
