parcel_id,property_address,assessed_value,owner_name,property_type,last_assessment_date
PAR000065,65 Main Street,315000,Owner 65,Residential,2025-09-16T09:52:44.680591
PAR000066,66 Main Street,316000,Owner 66,Residential,2025-09-16T09:52:44.680597
PAR000067,67 Main Street,317000,Owner 67,Residential,2025-09-16T09:52:44.680600
PAR000068,68 Main Street,318000,Owner 68,Residential,2025-09-16T09:52:44.680602
PAR000069,69 Main Street,319000,Owner 69,Residential,2025-09-16T09:52:44.680604
PAR000070,70 Main Street,320000,Owner 70,Residential,2025-09-16T09:52:44.680606
PAR000071,71 Main Street,321000,Owner 71,Residential,2025-09-16T09:52:44.680610
PAR000072,72 Main Street,322000,Owner 72,Residential,2025-09-16T09:52:44.680614
PAR000073,73 Main Street,323000,Owner 73,Residential,2025-09-16T09:52:44.680618
PAR000074,74 Main Street,324000,Owner 74,Residential,2025-09-16T09:52:44.680622
PAR000075,75 Main Street,325000,Owner 75,Residential,2025-09-16T09:52:44.680626
PAR000076,76 Main Street,326000,Owner 76,Residential,2025-09-16T09:52:44.680636
PAR000077,77 Main Street,327000,Owner 77,Residential,2025-09-16T09:52:44.680642
PAR000078,78 Main Street,328000,Owner 78,Residential,2025-09-16T09:52:44.680646
PAR000079,79 Main Street,329000,Owner 79,Residential,2025-09-16T09:52:44.680651
PAR000080,80 Main Street,330000,Owner 80,Residential,2025-09-16T09:52:44.680661
PAR000081,81 Main Street,331000,Owner 81,Residential,2025-09-16T09:52:44.680664
PAR000082,82 Main Street,332000,Owner 82,Residential,2025-09-16T09:52:44.680674
PAR000083,83 Main Street,333000,Owner 83,Residential,2025-09-16T09:52:44.680676
PAR000084,84 Main Street,334000,Owner 84,Residential,2025-09-16T09:52:44.680678
PAR000085,85 Main Street,335000,Owner 85,Residential,2025-09-16T09:52:44.680680
PAR000086,86 Main Street,336000,Owner 86,Residential,2025-09-16T09:52:44.680683
PAR000087,87 Main Street,337000,Owner 87,Residential,2025-09-16T09:52:44.680685
PAR000088,88 Main Street,338000,Owner 88,Residential,2025-09-16T09:52:44.680687
PAR000089,89 Main Street,339000,Owner 89,Residential,2025-09-16T09:52:44.680689
PAR000090,90 Main Street,340000,Owner 90,Residential,2025-09-16T09:52:44.680692
PAR000091,91 Main Street,341000,Owner 91,Residential,2025-09-16T09:52:44.680695
PAR000092,92 Main Street,342000,Owner 92,Residential,2025-09-16T09:52:44.680699
PAR000093,93 Main Street,343000,Owner 93,Residential,2025-09-16T09:52:44.680703
PAR000094,94 Main Street,344000,Owner 94,Residential,2025-09-16T09:52:44.680707
PAR000095,95 Main Street,345000,Owner 95,Residential,2025-09-16T09:52:44.680711
PAR000096,96 Main Street,346000,Owner 96,Residential,2025-09-16T09:52:44.680714
PAR000097,97 Main Street,347000,Owner 97,Residential,2025-09-16T09:52:44.680718
PAR000098,98 Main Street,348000,Owner 98,Residential,2025-09-16T09:52:44.680726
PAR000099,99 Main Street,349000,Owner 99,Residential,2025-09-16T09:52:44.680730
PAR000100,100 Main Street,350000,Owner 100,Residential,2025-09-16T09:52:44.680734
PAR000101,101 Main Street,351000,Owner 101,Residential,2025-09-16T09:52:44.680738
PAR000102,102 Main Street,352000,Owner 102,Residential,2025-09-16T09:52:44.680745
PAR000103,103 Main Street,353000,Owner 103,Residential,2025-09-16T09:52:44.680747
PAR000104,104 Main Street,354000,Owner 104,Residential,2025-09-16T09:52:44.680749
PAR000105,105 Main Street,355000,Owner 105,Residential,2025-09-16T09:52:44.680751
PAR000106,106 Main Street,356000,Owner 106,Residential,2025-09-16T09:52:44.680754
PAR000107,107 Main Street,357000,Owner 107,Residential,2025-09-16T09:52:44.680756
PAR000108,108 Main Street,358000,Owner 108,Residential,2025-09-16T09:52:44.680758
PAR000109,109 Main Street,359000,Owner 109,Residential,2025-09-16T09:52:44.680760
PAR000110,110 Main Street,360000,Owner 110,Residential,2025-09-16T09:52:44.680762
PAR000111,111 Main Street,361000,Owner 111,Residential,2025-09-16T09:52:44.680764
PAR000112,112 Main Street,362000,Owner 112,Residential,2025-09-16T09:52:44.680766
PAR000113,113 Main Street,363000,Owner 113,Residential,2025-09-16T09:52:44.680769
PAR000114,114 Main Street,364000,Owner 114,Residential,2025-09-16T09:52:44.680776
PAR000115,115 Main Street,365000,Owner 115,Residential,2025-09-16T09:52:44.680780
PAR000116,116 Main Street,366000,Owner 116,Residential,2025-09-16T09:52:44.680788
PAR000117,117 Main Street,367000,Owner 117,Residential,2025-09-16T09:52:44.680795
PAR000118,118 Main Street,368000,Owner 118,Residential,2025-09-16T09:52:44.680798
PAR000119,119 Main Street,369000,Owner 119,Residential,2025-09-16T09:52:44.680802
PAR000120,120 Main Street,370000,Owner 120,Residential,2025-09-16T09:52:44.680805
PAR000121,121 Main Street,371000,Owner 121,Residential,2025-09-16T09:52:44.680817
PAR000122,122 Main Street,372000,Owner 122,Residential,2025-09-16T09:52:44.680821
PAR000123,123 Main Street,373000,Owner 123,Residential,2025-09-16T09:52:44.680824
PAR000124,124 Main Street,374000,Owner 124,Residential,2025-09-16T09:52:44.680828
PAR000125,125 Main Street,375000,Owner 125,Residential,2025-09-16T09:52:44.680832
PAR000126,126 Main Street,376000,Owner 126,Residential,2025-09-16T09:52:44.680835
PAR000127,127 Main Street,377000,Owner 127,Residential,2025-09-16T09:52:44.680840
PAR000128,128 Main Street,378000,Owner 128,Residential,2025-09-16T09:52:44.680843
PAR000129,129 Main Street,379000,Owner 129,Residential,2025-09-16T09:52:44.680848
PAR000130,130 Main Street,380000,Owner 130,Residential,2025-09-16T09:52:44.680928
PAR000131,131 Main Street,381000,Owner 131,Residential,2025-09-16T09:52:44.680940
PAR000132,132 Main Street,382000,Owner 132,Residential,2025-09-16T09:52:44.680944
PAR000133,133 Main Street,383000,Owner 133,Residential,2025-09-16T09:52:44.680948
PAR000134,134 Main Street,384000,Owner 134,Residential,2025-09-16T09:52:44.680951
PAR000135,135 Main Street,385000,Owner 135,Residential,2025-09-16T09:52:44.680955
PAR000136,136 Main Street,386000,Owner 136,Residential,2025-09-16T09:52:44.680959
PAR000137,137 Main Street,387000,Owner 137,Residential,2025-09-16T09:52:44.680963
PAR000138,138 Main Street,388000,Owner 138,Residential,2025-09-16T09:52:44.680966
PAR000139,139 Main Street,389000,Owner 139,Residential,2025-09-16T09:52:44.680969
PAR000140,140 Main Street,390000,Owner 140,Residential,2025-09-16T09:52:44.680973
PAR000141,141 Main Street,391000,Owner 141,Residential,2025-09-16T09:52:44.680986
PAR000142,142 Main Street,392000,Owner 142,Residential,2025-09-16T09:52:44.680989
PAR000143,143 Main Street,393000,Owner 143,Residential,2025-09-16T09:52:44.680993
PAR000144,144 Main Street,394000,Owner 144,Residential,2025-09-16T09:52:44.680997
PAR000145,145 Main Street,395000,Owner 145,Residential,2025-09-16T09:52:44.681001
PAR000146,146 Main Street,396000,Owner 146,Residential,2025-09-16T09:52:44.681017
PAR000147,147 Main Street,397000,Owner 147,Residential,2025-09-16T09:52:44.681021
PAR000148,148 Main Street,398000,Owner 148,Residential,2025-09-16T09:52:44.681025
PAR000149,149 Main Street,399000,Owner 149,Residential,2025-09-16T09:52:44.681030
PAR000150,150 Main Street,400000,Owner 150,Residential,2025-09-16T09:52:44.681032
PAR000151,151 Main Street,401000,Owner 151,Residential,2025-09-16T09:52:44.681034
PAR000152,152 Main Street,402000,Owner 152,Residential,2025-09-16T09:52:44.681037
PAR000153,153 Main Street,403000,Owner 153,Residential,2025-09-16T09:52:44.681039
PAR000154,154 Main Street,404000,Owner 154,Residential,2025-09-16T09:52:44.681043
PAR000155,155 Main Street,405000,Owner 155,Residential,2025-09-16T09:52:44.681047
PAR000156,156 Main Street,406000,Owner 156,Residential,2025-09-16T09:52:44.681051
PAR000157,157 Main Street,407000,Owner 157,Residential,2025-09-16T09:52:44.681055
PAR000158,158 Main Street,408000,Owner 158,Residential,2025-09-16T09:52:44.681059
PAR000159,159 Main Street,409000,Owner 159,Residential,2025-09-16T09:52:44.681063
PAR000160,160 Main Street,410000,Owner 160,Residential,2025-09-16T09:52:44.681074
PAR000161,161 Main Street,411000,Owner 161,Residential,2025-09-16T09:52:44.681082
PAR000162,162 Main Street,412000,Owner 162,Residential,2025-09-16T09:52:44.681095
PAR000163,163 Main Street,413000,Owner 163,Residential,2025-09-16T09:52:44.681099
PAR000164,164 Main Street,414000,Owner 164,Residential,2025-09-16T09:52:44.681104
PAR000165,165 Main Street,415000,Owner 165,Residential,2025-09-16T09:52:44.681108
PAR000166,166 Main Street,416000,Owner 166,Residential,2025-09-16T09:52:44.681112
PAR000167,167 Main Street,417000,Owner 167,Residential,2025-09-16T09:52:44.681116
PAR000168,168 Main Street,418000,Owner 168,Residential,2025-09-16T09:52:44.681119
PAR000169,169 Main Street,419000,Owner 169,Residential,2025-09-16T09:52:44.681123
PAR000170,170 Main Street,420000,Owner 170,Residential,2025-09-16T09:52:44.681127
PAR000171,171 Main Street,421000,Owner 171,Residential,2025-09-16T09:52:44.681131
PAR000172,172 Main Street,422000,Owner 172,Residential,2025-09-16T09:52:44.681204
PAR000173,173 Main Street,423000,Owner 173,Residential,2025-09-16T09:52:44.681220
PAR000174,174 Main Street,424000,Owner 174,Residential,2025-09-16T09:52:44.681229
PAR000175,175 Main Street,425000,Owner 175,Residential,2025-09-16T09:52:44.681233
PAR000176,176 Main Street,426000,Owner 176,Residential,2025-09-16T09:52:44.681237
PAR000177,177 Main Street,427000,Owner 177,Residential,2025-09-16T09:52:44.681241
PAR000178,178 Main Street,428000,Owner 178,Residential,2025-09-16T09:52:44.681255
PAR000179,179 Main Street,429000,Owner 179,Residential,2025-09-16T09:52:44.681259
PAR000180,180 Main Street,430000,Owner 180,Residential,2025-09-16T09:52:44.681269
PAR000181,181 Main Street,431000,Owner 181,Residential,2025-09-16T09:52:44.681283
PAR000182,182 Main Street,432000,Owner 182,Residential,2025-09-16T09:52:44.681292
PAR000183,183 Main Street,433000,Owner 183,Residential,2025-09-16T09:52:44.681297
PAR000184,184 Main Street,434000,Owner 184,Residential,2025-09-16T09:52:44.681302
PAR000185,185 Main Street,435000,Owner 185,Residential,2025-09-16T09:52:44.681305
PAR000186,186 Main Street,436000,Owner 186,Residential,2025-09-16T09:52:44.681309
PAR000187,187 Main Street,437000,Owner 187,Residential,2025-09-16T09:52:44.681313
PAR000188,188 Main Street,438000,Owner 188,Residential,2025-09-16T09:52:44.681317
PAR000189,189 Main Street,439000,Owner 189,Residential,2025-09-16T09:52:44.681321
PAR000190,190 Main Street,440000,Owner 190,Residential,2025-09-16T09:52:44.681325
PAR000191,191 Main Street,441000,Owner 191,Residential,2025-09-16T09:52:44.681329
PAR000192,192 Main Street,442000,Owner 192,Residential,2025-09-16T09:52:44.681333
PAR000193,193 Main Street,443000,Owner 193,Residential,2025-09-16T09:52:44.681337
PAR000194,194 Main Street,444000,Owner 194,Residential,2025-09-16T09:52:44.681355
PAR000195,195 Main Street,445000,Owner 195,Residential,2025-09-16T09:52:44.681364
PAR000196,196 Main Street,446000,Owner 196,Residential,2025-09-16T09:52:44.681368
PAR000197,197 Main Street,447000,Owner 197,Residential,2025-09-16T09:52:44.681372
PAR000198,198 Main Street,448000,Owner 198,Residential,2025-09-16T09:52:44.681375
PAR000199,199 Main Street,449000,Owner 199,Residential,2025-09-16T09:52:44.681385
PAR000200,200 Main Street,450000,Owner 200,Residential,2025-09-16T09:52:44.681389
PAR000201,201 Main Street,451000,Owner 201,Residential,2025-09-16T09:52:44.681394
PAR000202,202 Main Street,452000,Owner 202,Residential,2025-09-16T09:52:44.681403
PAR000203,203 Main Street,453000,Owner 203,Residential,2025-09-16T09:52:44.681408
PAR000204,204 Main Street,454000,Owner 204,Residential,2025-09-16T09:52:44.681412
PAR000205,205 Main Street,455000,Owner 205,Residential,2025-09-16T09:52:44.681416
PAR000206,206 Main Street,456000,Owner 206,Residential,2025-09-16T09:52:44.681419
PAR000207,207 Main Street,457000,Owner 207,Residential,2025-09-16T09:52:44.681423
PAR000208,208 Main Street,458000,Owner 208,Residential,2025-09-16T09:52:44.681427
PAR000209,209 Main Street,459000,Owner 209,Residential,2025-09-16T09:52:44.681431
PAR000210,210 Main Street,460000,Owner 210,Residential,2025-09-16T09:52:44.681440
PAR000211,211 Main Street,461000,Owner 211,Residential,2025-09-16T09:52:44.681445
PAR000212,212 Main Street,462000,Owner 212,Residential,2025-09-16T09:52:44.681449
PAR000213,213 Main Street,463000,Owner 213,Residential,2025-09-16T09:52:44.681452
PAR000214,214 Main Street,464000,Owner 214,Residential,2025-09-16T09:52:44.681463
PAR000215,215 Main Street,465000,Owner 215,Residential,2025-09-16T09:52:44.681470
PAR000216,216 Main Street,466000,Owner 216,Residential,2025-09-16T09:52:44.681474
PAR000217,217 Main Street,467000,Owner 217,Residential,2025-09-16T09:52:44.681479
PAR000218,218 Main Street,468000,Owner 218,Residential,2025-09-16T09:52:44.681483
PAR000219,219 Main Street,469000,Owner 219,Residential,2025-09-16T09:52:44.681495
PAR000220,220 Main Street,470000,Owner 220,Residential,2025-09-16T09:52:44.681499
PAR000221,221 Main Street,471000,Owner 221,Residential,2025-09-16T09:52:44.681503
PAR000222,222 Main Street,472000,Owner 222,Residential,2025-09-16T09:52:44.681507
PAR000223,223 Main Street,473000,Owner 223,Residential,2025-09-16T09:52:44.681511
PAR000224,224 Main Street,474000,Owner 224,Residential,2025-09-16T09:52:44.681515
PAR000225,225 Main Street,475000,Owner 225,Residential,2025-09-16T09:52:44.681519
PAR000226,226 Main Street,476000,Owner 226,Residential,2025-09-16T09:52:44.681529
PAR000227,227 Main Street,477000,Owner 227,Residential,2025-09-16T09:52:44.681533
PAR000228,228 Main Street,478000,Owner 228,Residential,2025-09-16T09:52:44.681537
PAR000229,229 Main Street,479000,Owner 229,Residential,2025-09-16T09:52:44.681541
PAR000230,230 Main Street,480000,Owner 230,Residential,2025-09-16T09:52:44.681545
PAR000231,231 Main Street,481000,Owner 231,Residential,2025-09-16T09:52:44.681548
PAR000232,232 Main Street,482000,Owner 232,Residential,2025-09-16T09:52:44.681558
PAR000233,233 Main Street,483000,Owner 233,Residential,2025-09-16T09:52:44.681563
PAR000234,234 Main Street,484000,Owner 234,Residential,2025-09-16T09:52:44.681567
PAR000235,235 Main Street,485000,Owner 235,Residential,2025-09-16T09:52:44.681571
PAR000236,236 Main Street,486000,Owner 236,Residential,2025-09-16T09:52:44.681574
PAR000237,237 Main Street,487000,Owner 237,Residential,2025-09-16T09:52:44.681578
PAR000238,238 Main Street,488000,Owner 238,Residential,2025-09-16T09:52:44.681587
PAR000239,239 Main Street,489000,Owner 239,Residential,2025-09-16T09:52:44.681591
PAR000240,240 Main Street,490000,Owner 240,Residential,2025-09-16T09:52:44.681594
PAR000241,241 Main Street,491000,Owner 241,Residential,2025-09-16T09:52:44.681603
PAR000242,242 Main Street,492000,Owner 242,Residential,2025-09-16T09:52:44.681607
PAR000243,243 Main Street,493000,Owner 243,Residential,2025-09-16T09:52:44.681611
PAR000244,244 Main Street,494000,Owner 244,Residential,2025-09-16T09:52:44.681614
PAR000245,245 Main Street,495000,Owner 245,Residential,2025-09-16T09:52:44.681619
PAR000246,246 Main Street,496000,Owner 246,Residential,2025-09-16T09:52:44.681622
PAR000247,247 Main Street,497000,Owner 247,Residential,2025-09-16T09:52:44.681626
PAR000248,248 Main Street,498000,Owner 248,Residential,2025-09-16T09:52:44.681631
PAR000249,249 Main Street,499000,Owner 249,Residential,2025-09-16T09:52:44.681634
PAR000250,250 Main Street,500000,Owner 250,Residential,2025-09-16T09:52:44.681638
PAR000251,251 Main Street,501000,Owner 251,Residential,2025-09-16T09:52:44.681642
PAR000252,252 Main Street,502000,Owner 252,Residential,2025-09-16T09:52:44.681646
PAR000253,253 Main Street,503000,Owner 253,Residential,2025-09-16T09:52:44.681650
PAR000254,254 Main Street,504000,Owner 254,Residential,2025-09-16T09:52:44.681654
PAR000255,255 Main Street,505000,Owner 255,Residential,2025-09-16T09:52:44.681657
PAR000256,256 Main Street,506000,Owner 256,Residential,2025-09-16T09:52:44.681661
PAR000257,257 Main Street,507000,Owner 257,Residential,2025-09-16T09:52:44.681678
PAR000258,258 Main Street,508000,Owner 258,Residential,2025-09-16T09:52:44.681784
PAR000259,259 Main Street,509000,Owner 259,Residential,2025-09-16T09:52:44.681795
PAR000260,260 Main Street,510000,Owner 260,Residential,2025-09-16T09:52:44.681807
PAR000261,261 Main Street,511000,Owner 261,Residential,2025-09-16T09:52:44.681814
PAR000262,262 Main Street,512000,Owner 262,Residential,2025-09-16T09:52:44.681819
PAR000263,263 Main Street,513000,Owner 263,Residential,2025-09-16T09:52:44.681823
PAR000264,264 Main Street,514000,Owner 264,Residential,2025-09-16T09:52:44.681825
PAR000265,265 Main Street,515000,Owner 265,Residential,2025-09-16T09:52:44.681827
PAR000266,266 Main Street,516000,Owner 266,Residential,2025-09-16T09:52:44.681830
PAR000267,267 Main Street,517000,Owner 267,Residential,2025-09-16T09:52:44.681832
PAR000268,268 Main Street,518000,Owner 268,Residential,2025-09-16T09:52:44.681834
PAR000269,269 Main Street,519000,Owner 269,Residential,2025-09-16T09:52:44.681838
PAR000270,270 Main Street,520000,Owner 270,Residential,2025-09-16T09:52:44.681843
PAR000271,271 Main Street,521000,Owner 271,Residential,2025-09-16T09:52:44.681847
PAR000272,272 Main Street,522000,Owner 272,Residential,2025-09-16T09:52:44.681851
PAR000273,273 Main Street,523000,Owner 273,Residential,2025-09-16T09:52:44.681864
PAR000274,274 Main Street,524000,Owner 274,Residential,2025-09-16T09:52:44.681868
PAR000275,275 Main Street,525000,Owner 275,Residential,2025-09-16T09:52:44.681872
PAR000276,276 Main Street,526000,Owner 276,Residential,2025-09-16T09:52:44.681876
PAR000277,277 Main Street,527000,Owner 277,Residential,2025-09-16T09:52:44.681886
PAR000278,278 Main Street,528000,Owner 278,Residential,2025-09-16T09:52:44.681893
PAR000279,279 Main Street,529000,Owner 279,Residential,2025-09-16T09:52:44.681902
PAR000280,280 Main Street,530000,Owner 280,Residential,2025-09-16T09:52:44.681906
PAR000281,281 Main Street,531000,Owner 281,Residential,2025-09-16T09:52:44.681910
PAR000282,282 Main Street,532000,Owner 282,Residential,2025-09-16T09:52:44.681914
PAR000283,283 Main Street,533000,Owner 283,Residential,2025-09-16T09:52:44.681918
PAR000284,284 Main Street,534000,Owner 284,Residential,2025-09-16T09:52:44.681928
PAR000285,285 Main Street,535000,Owner 285,Residential,2025-09-16T09:52:44.681930
PAR000286,286 Main Street,536000,Owner 286,Residential,2025-09-16T09:52:44.681933
PAR000287,287 Main Street,537000,Owner 287,Residential,2025-09-16T09:52:44.681935
PAR000288,288 Main Street,538000,Owner 288,Residential,2025-09-16T09:52:44.681937
PAR000289,289 Main Street,539000,Owner 289,Residential,2025-09-16T09:52:44.681944
PAR000290,290 Main Street,540000,Owner 290,Residential,2025-09-16T09:52:44.681947
PAR000291,291 Main Street,541000,Owner 291,Residential,2025-09-16T09:52:44.681949
PAR000292,292 Main Street,542000,Owner 292,Residential,2025-09-16T09:52:44.681951
PAR000293,293 Main Street,543000,Owner 293,Residential,2025-09-16T09:52:44.681953
PAR000294,294 Main Street,544000,Owner 294,Residential,2025-09-16T09:52:44.681955
PAR000295,295 Main Street,545000,Owner 295,Residential,2025-09-16T09:52:44.681957
PAR000296,296 Main Street,546000,Owner 296,Residential,2025-09-16T09:52:44.681960
PAR000297,297 Main Street,547000,Owner 297,Residential,2025-09-16T09:52:44.681966
PAR000298,298 Main Street,548000,Owner 298,Residential,2025-09-16T09:52:44.681968
PAR000299,299 Main Street,549000,Owner 299,Residential,2025-09-16T09:52:44.681970
PAR000300,300 Main Street,550000,Owner 300,Residential,2025-09-16T09:52:44.681973
PAR000301,301 Main Street,551000,Owner 301,Residential,2025-09-16T09:52:44.681975
PAR000302,302 Main Street,552000,Owner 302,Residential,2025-09-16T09:52:44.681977
PAR000303,303 Main Street,553000,Owner 303,Residential,2025-09-16T09:52:44.681979
PAR000304,304 Main Street,554000,Owner 304,Residential,2025-09-16T09:52:44.681981
PAR000305,305 Main Street,555000,Owner 305,Residential,2025-09-16T09:52:44.681988
PAR000306,306 Main Street,556000,Owner 306,Residential,2025-09-16T09:52:44.681990
PAR000307,307 Main Street,557000,Owner 307,Residential,2025-09-16T09:52:44.681992
PAR000308,308 Main Street,558000,Owner 308,Residential,2025-09-16T09:52:44.681994
PAR000309,309 Main Street,559000,Owner 309,Residential,2025-09-16T09:52:44.681997
PAR000310,310 Main Street,560000,Owner 310,Residential,2025-09-16T09:52:44.681999
PAR000311,311 Main Street,561000,Owner 311,Residential,2025-09-16T09:52:44.682001
PAR000312,312 Main Street,562000,Owner 312,Residential,2025-09-16T09:52:44.682004
PAR000313,313 Main Street,563000,Owner 313,Residential,2025-09-16T09:52:44.682008
PAR000314,314 Main Street,564000,Owner 314,Residential,2025-09-16T09:52:44.682012
PAR000315,315 Main Street,565000,Owner 315,Residential,2025-09-16T09:52:44.682016
PAR000316,316 Main Street,566000,Owner 316,Residential,2025-09-16T09:52:44.682034
PAR000317,317 Main Street,567000,Owner 317,Residential,2025-09-16T09:52:44.682040
PAR000318,318 Main Street,568000,Owner 318,Residential,2025-09-16T09:52:44.682044
PAR000319,319 Main Street,569000,Owner 319,Residential,2025-09-16T09:52:44.682048
PAR000320,320 Main Street,570000,Owner 320,Residential,2025-09-16T09:52:44.682051
PAR000321,321 Main Street,571000,Owner 321,Residential,2025-09-16T09:52:44.682061
PAR000322,322 Main Street,572000,Owner 322,Residential,2025-09-16T09:52:44.682065
PAR000323,323 Main Street,573000,Owner 323,Residential,2025-09-16T09:52:44.682068
PAR000324,324 Main Street,574000,Owner 324,Residential,2025-09-16T09:52:44.682072
PAR000325,325 Main Street,575000,Owner 325,Residential,2025-09-16T09:52:44.682077
PAR000326,326 Main Street,576000,Owner 326,Residential,2025-09-16T09:52:44.682083
PAR000327,327 Main Street,577000,Owner 327,Residential,2025-09-16T09:52:44.682094
PAR000328,328 Main Street,578000,Owner 328,Residential,2025-09-16T09:52:44.682099
PAR000329,329 Main Street,579000,Owner 329,Residential,2025-09-16T09:52:44.682111
PAR000330,330 Main Street,580000,Owner 330,Residential,2025-09-16T09:52:44.682114
